otu	Kingdom	Phylum	Class	Order	Family	Genus	Species
8998c32a57bd40e2b822378697fd640695279d90	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
89ccda886dc38fa35bc6a483dccca89906e70373	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8a03c963e8a9d53562c10f001e2996668c95ba33	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
8a0fcb971162de02860af39ab64114f3492e1fee	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8a77cea3e4079dba8b680a7ff70170d33720e706	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8a7f2e963342a6c9450506fb52f8ac9bcae6fd33	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
8a9a13dda2e88970bbb89ad15e4a634ecfdf4906	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8acb6b91b1ac493f7a952247d67fba85c6880d9f	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8aed6d79da82e76e74ba0730e9cd814920bd0c01	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8b29c2ecb8138719666e95940a1fe50af0deaa22	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8b493cf00b9c8632db49c298eda4d4d7ff392d79	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8b59ddd0f6196b284cf84bed85445e170ea57411	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8b7b47e62dd9726389e86186ea27634fee3433ff	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8bb3c508f7511f96228ba23786985bc0ce80f0b7	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8be0fc316da85420c4a5f8b02bf41048e9899666	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8c4a86c49f33b6ec38d914ff60227a41a68d2df3	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
8c50c4302c39e69f872b47bb67c7f1287d4f66c2	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8cb35142d3682a82653ccbd052fdaff8979c9dd7	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8d2d6922f1883d6badcb424df16b2adb287f4ae6	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8d3ef2c61403bd05e2220c34cbe949704b563b75	Eukaryota	Basidiomycota	Opisthokonta	Tremellales	Bulleraceae	Bullera	Bullera_coprosmae
8d48811a0774a96b421092ca7fff91d3aab0e74a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8dc1f85ca5b38d955928e73ffe0fadaa51fe23dd	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8dc6ac406914c9d1f135ef8f2a83e37506c29f21	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8ded36c49a3409dec4b0b46da3ab44645a449b0e	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8e17414ec588c4a76554a79d7e7b64e0164c9dd6	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8e82e9f1732d415db3add5bc46186c83e17e95dc	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
8f2b22793c39f8a4666d415b7a3d3484a4d9382b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8f31e79efffbd915400489f6502a4bfe3aca0a44	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8f6193852b1b0d57461bc9664dbdfb5dfedb045b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8f6bac46fa23381ecb18d19b02f48e9f7f062f4a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8f7a90399e56aeb68ccbbe98de0d21275bec0fe3	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8f9b6532f7da958a4b735b2fd07797f3ed876204	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8fb5610dc618fb2fa0094b36185d9a25cd3fe660	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
90206c42e7858c89709206ccf386f859724e1364	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
904281bcffc23c14119f6620a54579138afd74af	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
907984f65df3a74b895e3db7d27b78d676484cc4	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
907faabcd8d515e1515acb05310d11a4c2d9e0ad	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
908c2dcae8e2cd4a57632ac053a2911c18a02a54	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
909d3822e65c372257525f5d7f6c08a873513fc9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
9101c06c67b2e403922573a1b7e90327603ce2bb	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
91e1ca6567ef8b8935fadb9655a2e2cb041bdefb	Eukaryota	Oomycota	Stramenopiles	Peronosporales	Peronosporaceae	Peronospora	Peronospora_meconopsidis
91f5024b943f11b86893f93c5d71c97627664421	Eukaryota	Basidiomycota	Opisthokonta	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella_spadicea
91f6ae17f7757b016b52b15fd9838edc6282d154	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
9203264d0debc098b130df810f146f5cb954085b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
9216702acf9ea3577647c9c51c8684a84b3f5190	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
92cedd18eedaa34299f5ee8bb082279eb314ac2f	Eukaryota	Basidiomycota	Opisthokonta	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
92f07dcab95e1c982db8da768e11d0d1991beecb	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
92f4a0b5093d0f332b32d80ed6b1734acbd43a2d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
93105d8d12904e99363f8d38e21baf18bf7e04dc	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
93c3745b619c2bf788f03b9d8fd7e72ac252f1d5	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
9403995dd676ca6a2ae91c343c76ba68cf3e45cc	Eukaryota	Oomycota	Stramenopiles	Peronosporales	Peronosporaceae	Peronospora	Peronospora_variabilis
94b38fb6b603bf4d670764e0e422ac681c5c57d3	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
952d14247c112d5aa3cc026d1cffbec6b5219a59	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
959ad69bd9e55c7ddeed96488b2b60a96b11303f	Eukaryota	Oomycota	Stramenopiles	Peronosporales	Peronosporaceae	Hyaloperonospora	Hyaloperonospora_brassicae
95d6b93b804690be5bc1637b8474d7e9eff6f0ae	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
9610dd20a8f66f0d95431dd88a87c41c2f7c7f36	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
961f9eb243b4cd47e321ad4def7f019129c9a9dd	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
9652766e7c4b1f8931486ff43e4ffc72cd54bc4c	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
968145c8489185d97f9a3287053a0c4c24b21074	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
96c87e12f92401a4eec2899da6c792a1f159ee7a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
974114bcfef50ee8d78da32abb7cba2adddaa42b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
976752d36832accdac7cdf7fbc20cfa594532ffd	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
977bae15f806de9ce8fe92cb957324c567ae56f3	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
987a7c5bd2711620a8255c3550da19a13e9fadaf	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
98981f77327cd4c3a67b8a4769f38fc3eec11d86	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
98e88af94f8b1b23e07d56b4e4e5e7ac84304a16	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
9911bfea4792a59c632d3e78c42e7af43efb53fe	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
995f298fd87432ad77d968f5427093ba28151b2a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
