"otu"	"superkingdom"	"phylum"	"clade"	"order"	"family"	"genus"	"species"
97377	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Xylariaceae"	"Biscogniauxia"	"Biscogniauxia_mediterranea"
2945065	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Xylariaceae"	"Nemania"	"Nemania_rubi"
1927784	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Hypoxylaceae"	"Annulohypoxylon"	"Annulohypoxylon_areolatum"
326630	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Hypoxylaceae"	"Annulohypoxylon"	"Annulohypoxylon_urceolatum"
42309	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Hypoxylaceae"	"Annulohypoxylon"	"Annulohypoxylon_atroroseum"
1699065	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Hypoxylaceae"	"Annulohypoxylon"	"Annulohypoxylon_palmicola"
2717860	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Hypoxylaceae"	"Hypoxylon"	"Hypoxylon_guilanense"
990691	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Apiosporaceae"	"Apiospora"	"Apiospora_rasikravindrae"
1699843	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Apiosporaceae"	"Apiospora"	"Apiospora_subglobosa"
140169	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Diatrypaceae"	"Cryptosphaeria"	"Cryptosphaeria_pullmanensis"
1931075	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"unidentified"	"Oxydothis"	"Oxydothis_palmicola"
2665127	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Pseudotruncatellaceae"	"Pseudotruncatella"	"Pseudotruncatella_camporesii"
1749285	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Herpomycetales"	"Herpomycetaceae"	"Herpomyces"	"Herpomyces_stilopygae"
