OTU,Domain,Phylum,Class,Order,Family,Genus,Species
GQ162818.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__unidentified,g__Leucogyrophana,s__Leucogyrophana_sororia
MF992158.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Clavariaceae,g__Clavulinopsis,s__Clavulinopsis_fusiformis
JQ761305.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Xylariaceae,g__Biscogniauxia,s__Biscogniauxia_mediterranea
KP165577.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_centrirufus
KC759442.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Clavariaceae,g__Clavaria,s__Clavaria_falcata
KU882889.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Clavariaceae,g__Hodophilus,s__Hodophilus_paupertinus
JQ821320.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Hapalopilus,s__Hapalopilus_croceus
EU179862.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Xylariaceae,g__Xylaria,s__Xylaria_brunneovinosa
AY999115.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Sordariales,f__Schizotheciaceae,g__Schizothecium,s__Schizothecium_fimbriatum
AY515358.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Sordariales,f__Podosporaceae,g__Podospora,s__Podospora_dakotensis
MH862824.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Sordariales,f__Schizotheciaceae,g__Schizothecium,s__Schizothecium_selenosporum
AY557601.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleribasidiaceae,g__Vishniacozyma,s__Vishniacozyma_taibaiensis
MH856728.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Sordariales,f__Schizotheciaceae,g__Schizothecium,s__Schizothecium_curvisporum
MN846490.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_rotundisporus
MF774799.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Fibricium,s__Fibricium_subceraceum
KC581997.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Geastrales,f__Geastraceae,g__Geastrum,s__Geastrum_pseudostriatus
GU553334.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Coniocessiaceae,g__Coniocessia,s__Coniocessia_minima
HE792910.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_hawaiiensis
KP012953.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pleurotaceae,g__Pleurotus,s__Pleurotus_giganteus
MW412385.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Hymenogastraceae,g__Hebeloma,s__Hebeloma_parcivelum
KJ009676.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pluteaceae,g__Pluteus,s__Pluteus_alniphilus
JX454918.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_hirtipes
HM562113.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pluteaceae,g__Pluteus,s__Pluteus_saupei
KP835672.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__unidentified,g__Xeromphalina,s__Xeromphalina_kauffmanii
KC710117.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_perbloxamii
KU355336.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pleurotaceae,g__Hohenbuehelia,s__Hohenbuehelia_mastrucata
DQ389686.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,s__Psathyrella_fibrillosa
KJ009683.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pluteaceae,g__Pluteus,s__Pluteus_eos
KC710069.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_coeruleogracilis
EU703910.2,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Hypocreaceae,g__Protocrea,s__Protocrea_farinosa
JX091426.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Eurotiales,f__Aspergillaceae,g__Penicillium,s__Penicillium_annulatum
HM151014.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Saccharomycetales,f__Trichomonascaceae,g__Spencermartinsiella,s__Spencermartinsiella_cellulosicola
KM453733.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Clitocybaceae,g__Clitocybe,s__Clitocybe_vibecina
KM675999.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletinellaceae,g__Phlebopus,s__Phlebopus_mexicanus
HM004232.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_borealis
MH859486.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Bionectriaceae,g__Paragliomastix,s__Paragliomastix_luzulae
JX000375.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Cortinariaceae,g__Cortinarius,s__Cortinarius_rattinoides
JX976022.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mortierellales,f__Mortierellaceae,g__Linnemannia,s__Linnemannia_nantahalensis
MH798901.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Leptosilliaceae,g__Leptosillia,s__Leptosillia_pistaciae
HQ111052.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Saccharomycetales,f__unidentified,g__Starmerella,s__Starmerella_bombicola
